,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),S222,93,30,93.3%,93.3%,9.5,A- (3.73),B (3.16),3.16,cse,11
1,1,1,1,1,1,1,"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A),S122,33,3,100.0%,100.0%,8.5,A (4.00),B+ (3.47),3.47,cse,11
2,2,2,2,2,2,2,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),SP22,156,48,81.4%,66.7%,8.83,B+ (3.67),B- (2.96),2.96,cse,11
3,3,3,3,3,3,3,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (B),SP22,166,62,69.5%,68.4%,10.47,A- (3.71),B (3.05),3.05,cse,11
4,4,4,4,4,4,4,"Politz, Joseph Gibbs",CSE 110 - Software Engineering (A),SP22,194,159,66.0%,96.2%,11.42,B+ (3.46),B+ (3.36),3.36,cse,11
5,5,5,5,5,5,5,"Griswold, William G.",CSE 110 - Software Engineering (B),SP22,194,144,68.5%,62.7%,12.37,B+ (3.38),B+ (3.31),3.31,cse,11
6,6,6,6,6,6,6,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),SP22,137,39,92.1%,100.0%,7.64,B+ (3.68),A- (3.77),3.77,cse,11
7,7,7,7,7,7,7,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),WI22,345,177,77.5%,70.3%,9.24,B+ (3.34),B+ (3.32),3.32,cse,11
8,8,8,8,8,8,8,"Griswold, William G.",CSE 110 - Software Engineering (A),WI22,211,83,56.1%,32.5%,13.91,B+ (3.42),B (3.26),3.26,cse,11
9,9,9,9,9,9,9,"Politz, Joseph Gibbs",CSE 11 - Accel. Intro to Programming (A),FA21,189,112,92.7%,95.5%,6.57,A- (3.84),B+ (3.46),3.46,cse,11
10,10,10,10,10,10,10,"Politz, Joseph Gibbs",CSE 11 - Accel. Intro to Programming (B),FA21,190,112,97.2%,99.1%,6.33,A- (3.85),B+ (3.52),3.52,cse,11
11,11,11,11,11,11,11,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (C),FA21,188,95,91.0%,96.6%,6.24,A- (3.77),B+ (3.34),3.34,cse,11
12,12,12,12,12,12,12,"Powell, Thomas Allan",CSE 110 - Software Engineering (A),FA21,344,143,79.0%,63.8%,9.76,B+ (3.61),A- (3.77),3.77,cse,11
13,13,13,13,13,13,13,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA21,12,6,100.0%,100.0%,5.7,A (4.00),,,cse,11
14,14,14,14,14,14,14,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),S221,52,19,100.0%,94.4%,7.87,A- (3.95),B+ (3.56),3.56,cse,11
15,15,15,15,15,15,15,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),S121,70,19,77.8%,100.0%,11.39,A- (3.78),B (3.03),3.03,cse,11
16,16,16,16,16,16,16,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A),SP21,117,43,85.7%,85.7%,10.26,A- (3.71),B+ (3.40),3.4,cse,11
17,17,17,17,17,17,17,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (B),SP21,121,47,87.0%,87.0%,9.59,A- (3.71),B+ (3.57),3.57,cse,11
18,18,18,18,18,18,18,"Powell, Thomas Allan",CSE 110 - Software Engineering (A),SP21,292,105,74.0%,76.9%,10.46,B+ (3.68),A- (3.82),3.82,cse,11
19,19,19,19,19,19,19,"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A),WI21,342,254,89.7%,94.0%,10.02,B+ (3.46),B (3.29),3.29,cse,11
20,20,20,20,20,20,20,"Powell, Thomas Allan",CSE 110 - Software Engineering (A),WI21,295,104,72.7%,59.4%,9.38,B+ (3.54),B+ (3.66),3.66,cse,11
21,21,21,21,21,21,21,"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A),FA20,185,161,96.3%,98.1%,9.81,B+ (3.62),B+ (3.33),3.33,cse,11
22,22,22,22,22,22,22,"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (B),FA20,185,163,96.3%,100.0%,8.84,B+ (3.70),B+ (3.45),3.45,cse,11
23,23,23,23,23,23,23,"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (C),FA20,183,153,94.7%,92.1%,9.14,B+ (3.60),B (3.22),3.22,cse,11
24,24,24,24,24,24,24,"August, Robert Henry",CSE 11 - Accel. Intro to Programming (D),FA20,137,74,95.9%,87.7%,8.69,B+ (3.70),B (3.18),3.18,cse,11
25,25,25,25,25,25,25,"Gillespie, Gary N",CSE 110 - Software Engineering (A),FA20,383,104,83.2%,73.0%,10.62,B+ (3.66),A- (3.78),3.78,cse,11
26,26,26,26,26,26,26,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA20,14,3,66.7%,100.0%,5.83,A (4.00),,,cse,11
27,27,27,27,27,27,27,"Miranda, Gregory Joseph",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S220,40,35,94.3%,94.1%,10.56,A- (3.88),B+ (3.56),3.56,cse,11
28,28,28,28,28,28,28,"Miranda, Gregory Joseph",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S120,57,47,93.6%,93.6%,11.01,B+ (3.67),B+ (3.45),3.45,cse,11
29,29,29,29,29,29,29,"Cao, Yingjun",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),S120,28,23,100.0%,100.0%,10.59,B+ (3.61),B (3.29),3.29,cse,11
30,30,30,30,30,30,30,"August, Robert Henry",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),S120,46,15,100.0%,100.0%,10.21,B+ (3.69),B (3.30),3.3,cse,11
31,31,31,31,31,31,31,"Politz, Joseph Gibbs",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP20,187,79,92.3%,92.3%,9.76,A- (3.80),A- (3.74),3.74,cse,11
32,32,32,32,32,32,32,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP20,350,117,88.8%,78.3%,9.93,A- (3.78),A- (3.93),3.93,cse,11
33,33,33,33,33,33,33,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),SP20,140,31,76.7%,73.3%,9.15,A- (3.71),B+ (3.69),3.69,cse,11
34,34,34,34,34,34,34,"Moshiri, Alexander Niema",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI20,176,76,97.3%,98.6%,9.15,B+ (3.59),B+ (3.30),3.3,cse,11
35,35,35,35,35,35,35,"Chandrasekhar, Arjun",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI20,149,69,95.5%,93.9%,7.0,A- (3.84),A- (3.75),3.75,cse,11
36,36,36,36,36,36,36,"Griswold, William G.",CSE 110 - Software Engineering (A),WI20,195,165,80.5%,84.1%,13.38,B+ (3.48),B+ (3.61),3.61,cse,11
